Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Non zero edges,Edge compr. rate,Total graph compr 
2363,24,22,8.33,52,68,46,11.54,19.869999999999997
2364,30,25,16.67,66,77,52,21.21,37.88
2365,30,26,13.33,68,82,56,17.65,30.979999999999997
2366,13,9,30.77,28,25,18,35.71,66.48
2367,28,28,0.0,60,88,60,0.0,0.0
2368,19,18,5.26,42,56,39,7.14,12.399999999999999
2369,18,15,16.67,38,45,30,21.05,37.72
2370,25,25,0.0,54,79,54,0.0,0.0
2371,24,22,8.33,52,68,46,11.54,19.869999999999997
2372,24,20,16.67,50,62,42,16.0,32.67
2373,23,20,13.04,48,60,40,16.67,29.71
2374,20,16,20.0,44,48,32,27.27,47.269999999999996
2375,24,22,8.33,54,70,48,11.11,19.439999999999998
2376,21,18,14.29,42,52,34,19.05,33.34
2377,23,23,0.0,50,73,50,0.0,0.0
2378,21,21,0.0,46,67,46,0.0,0.0
2379,23,21,8.7,50,65,44,12.0,20.7
2380,17,15,11.76,34,43,28,17.65,29.409999999999997
2381,20,17,15.0,42,51,34,19.05,34.05
2382,20,20,0.0,44,64,44,0.0,0.0
2383,19,18,5.26,42,58,40,4.76,10.02
2384,26,25,3.85,56,79,54,3.57,7.42
2385,23,21,8.7,48,63,42,12.5,21.2
2386,14,12,14.29,28,34,23,17.86,32.15
2387,22,19,13.64,46,57,38,17.39,31.03
2388,23,21,8.7,48,63,42,12.5,21.2
2389,20,18,10.0,44,56,38,13.64,23.64
2390,20,18,10.0,42,56,38,9.52,19.52
2391,18,18,0.0,38,56,38,0.0,0.0
2392,25,21,16.0,52,63,42,19.23,35.230000000000004
2393,23,19,17.39,48,55,36,25.0,42.39
2394,15,15,0.0,30,45,30,0.0,0.0
2395,24,23,4.17,52,73,50,3.85,8.02
2396,24,21,12.5,52,65,45,13.46,25.96
2397,22,20,9.09,46,60,40,13.04,22.13
2398,24,20,16.67,50,60,40,20.0,36.67
2399,22,22,0.0,46,68,46,0.0,0.0
2400,21,19,9.52,44,57,38,13.64,23.16
2401,27,23,14.81,60,71,48,20.0,34.81
2402,24,21,12.5,54,65,45,16.67,29.17
2403,24,24,0.0,52,76,52,0.0,0.0
2404,24,19,20.83,50,57,38,24.0,44.83
2405,24,19,20.83,50,55,36,28.0,48.83
2406,28,26,7.14,60,80,54,10.0,17.14
2407,14,14,0.0,32,46,32,0.0,0.0
2408,32,28,12.5,72,88,61,15.28,27.78
2409,26,23,11.54,54,69,46,14.81,26.35
2410,26,22,15.38,58,68,46,20.69,36.07
2411,25,22,12.0,52,66,44,15.38,27.380000000000003
2412,21,21,0.0,42,63,42,0.0,0.0
2413,31,31,0.0,70,101,70,0.0,0.0
2414,15,14,6.67,30,42,28,6.67,13.34
2415,16,16,0.0,34,50,34,0.0,0.0
2416,25,22,12.0,52,66,44,15.38,27.380000000000003
2417,22,21,4.55,50,67,47,6.0,10.55
2418,28,23,17.86,60,69,47,21.67,39.53
2419,26,21,19.23,56,63,42,25.0,44.230000000000004
2420,19,19,0.0,40,59,40,0.0,0.0
2421,25,23,8.0,54,71,48,11.11,19.11
2422,24,24,0.0,52,76,52,0.0,0.0
2423,27,24,11.11,58,74,50,13.79,24.9
2424,23,23,0.0,48,71,48,0.0,0.0
2425,23,23,0.0,50,73,50,0.0,0.0
2426,26,23,11.54,56,71,48,14.29,25.83
2427,27,24,11.11,60,74,51,15.0,26.11
2428,20,18,10.0,40,54,36,10.0,20.0
2429,28,24,14.29,64,76,52,18.75,33.04
2430,23,21,8.7,50,65,44,12.0,20.7
2431,14,14,0.0,28,42,28,0.0,0.0
2432,27,23,14.81,58,71,48,17.24,32.05
2433,24,22,8.33,52,68,46,11.54,19.869999999999997
2434,25,23,8.0,56,73,50,10.71,18.71
2435,27,25,7.41,58,77,52,10.34,17.75
2436,22,20,9.09,48,62,42,12.5,21.59
2437,21,21,0.0,44,65,44,0.0,0.0
2438,18,18,0.0,38,56,38,0.0,0.0
2439,21,18,14.29,46,56,39,15.22,29.509999999999998
2440,26,24,7.69,58,76,52,10.34,18.03
2441,24,22,8.33,50,68,46,8.0,16.33
2442,24,20,16.67,52,60,40,23.08,39.75
2443,22,19,13.64,46,57,38,17.39,31.03
2444,12,12,0.0,26,38,26,0.0,0.0
2445,27,23,14.81,58,71,48,17.24,32.05
2446,20,18,10.0,42,54,36,14.29,24.29
2447,27,27,0.0,60,87,60,0.0,0.0
2448,25,24,4.0,54,76,52,3.7,7.7
2449,23,20,13.04,48,60,40,16.67,29.71
2450,26,24,7.69,56,74,50,10.71,18.400000000000002
2451,22,22,0.0,48,70,48,0.0,0.0
2452,27,25,7.41,60,79,55,8.33,15.74
2453,25,20,20.0,54,60,40,25.93,45.93
2454,22,22,0.0,48,70,48,0.0,0.0
2455,26,26,0.0,58,84,58,0.0,0.0
2456,24,22,8.33,52,68,46,11.54,19.869999999999997
2457,23,22,4.35,50,70,48,4.0,8.35
2458,23,20,13.04,50,62,42,16.0,29.04
2459,15,15,0.0,32,47,32,0.0,0.0
2460,28,22,21.43,62,66,45,27.42,48.85
2461,22,20,9.09,48,62,42,12.5,21.59
2462,26,23,11.54,58,73,50,13.79,25.33
2463,28,26,7.14,60,80,54,10.0,17.14
2464,15,14,6.67,30,42,28,6.67,13.34
2465,27,25,7.41,58,77,52,10.34,17.75
2466,22,21,4.55,50,67,46,8.0,12.55
2467,28,24,14.29,60,72,48,20.0,34.29
2468,20,20,0.0,44,64,44,0.0,0.0
2469,21,20,4.76,44,62,42,4.55,9.309999999999999
2470,20,20,0.0,42,62,42,0.0,0.0
2471,22,20,9.09,48,62,42,12.5,21.59
2472,25,23,8.0,56,73,50,10.71,18.71
2473,23,21,8.7,52,67,46,11.54,20.24
2474,27,23,14.81,58,71,48,17.24,32.05
2475,29,25,13.79,62,77,52,16.13,29.919999999999998
2476,12,10,16.67,24,28,19,20.83,37.5
2477,18,15,16.67,36,43,28,22.22,38.89
2478,29,28,3.45,64,90,62,3.12,6.57
2479,20,16,20.0,42,48,33,21.43,41.43
2480,25,25,0.0,56,81,56,0.0,0.0
2481,24,22,8.33,52,68,46,11.54,19.869999999999997
2482,20,19,5.0,42,59,40,4.76,9.76
2483,18,18,0.0,38,56,38,0.0,0.0
2484,24,24,0.0,52,76,52,0.0,0.0
2485,26,22,15.38,58,68,46,20.69,36.07
2486,19,19,0.0,42,61,42,0.0,0.0
2487,22,18,18.18,48,54,37,22.92,41.1
2488,25,25,0.0,54,79,54,0.0,0.0
2489,24,24,0.0,54,78,54,0.0,0.0
2490,23,21,8.7,48,65,44,8.33,17.03
2491,27,23,14.81,58,69,46,20.69,35.5
2492,23,21,8.7,50,65,44,12.0,20.7
2493,22,20,9.09,46,60,40,13.04,22.13
2494,23,19,17.39,50,57,38,24.0,41.39
2495,20,16,20.0,42,46,30,28.57,48.57
2496,26,25,3.85,56,79,54,3.57,7.42
2497,19,17,10.53,40,53,36,10.0,20.53
2498,20,17,15.0,44,51,35,20.45,35.45
2499,26,24,7.69,56,74,50,10.71,18.400000000000002
2500,25,25,0.0,54,79,54,0.0,0.0
2501,23,21,8.7,50,65,44,12.0,20.7
2502,12,12,0.0,24,36,24,0.0,0.0
2503,25,22,12.0,52,68,46,11.54,23.54
2504,22,20,9.09,48,62,42,12.5,21.59
2505,20,18,10.0,46,58,41,10.87,20.869999999999997
2506,14,14,0.0,30,44,30,0.0,0.0
2507,20,18,10.0,42,54,36,14.29,24.29
2508,22,22,0.0,48,70,48,0.0,0.0
2509,21,21,0.0,44,65,44,0.0,0.0
2510,17,14,17.65,36,42,28,22.22,39.87
2511,21,19,9.52,46,59,40,13.04,22.56
2512,26,23,11.54,56,71,48,14.29,25.83
2513,27,25,7.41,60,79,54,10.0,17.41
2514,24,23,4.17,52,71,49,5.77,9.94
2515,30,28,6.67,66,88,60,9.09,15.76
2516,31,27,12.9,68,83,56,17.65,30.549999999999997
2517,23,21,8.7,50,65,44,12.0,20.7
2518,22,19,13.64,46,57,38,17.39,31.03
2519,24,21,12.5,52,65,44,15.38,27.880000000000003
2520,15,14,6.67,30,42,28,6.67,13.34
2521,25,24,4.0,54,76,52,3.7,7.7
2522,28,23,17.86,58,69,46,20.69,38.55
2523,19,19,0.0,40,59,40,0.0,0.0
2524,23,20,13.04,50,62,42,16.0,29.04
2525,26,23,11.54,56,71,48,14.29,25.83
2526,22,19,13.64,48,57,39,18.75,32.39
2527,22,22,0.0,46,68,46,0.0,0.0
2528,15,14,6.67,32,44,30,6.25,12.92
2529,14,14,0.0,30,44,30,0.0,0.0
2530,27,27,0.0,58,85,58,0.0,0.0
2531,16,12,25.0,34,34,24,29.41,54.41
2532,19,19,0.0,40,59,40,0.0,0.0
2533,23,21,8.7,52,67,46,11.54,20.24
2534,25,23,8.0,54,71,48,11.11,19.11
2535,20,18,10.0,42,54,36,14.29,24.29
2536,25,25,0.0,52,77,52,0.0,0.0
2537,26,22,15.38,56,66,44,21.43,36.81
2538,25,25,0.0,56,81,56,0.0,0.0
2539,22,21,4.55,48,67,46,4.17,8.719999999999999
2540,24,24,0.0,52,76,52,0.0,0.0
2541,26,25,3.85,58,79,55,5.17,9.02
2542,23,23,0.0,50,73,50,0.0,0.0
2543,25,23,8.0,56,73,50,10.71,18.71
2544,19,19,0.0,42,61,42,0.0,0.0
2545,23,21,8.7,48,63,42,12.5,21.2
2546,17,15,11.76,36,45,30,16.67,28.43
2547,24,23,4.17,52,73,50,3.85,8.02
2548,21,19,9.52,46,59,40,13.04,22.56
2549,26,24,7.69,56,74,50,10.71,18.400000000000002
2550,31,27,12.9,70,87,60,14.29,27.189999999999998
2551,16,11,31.25,34,31,22,35.29,66.53999999999999
2552,16,16,0.0,32,48,32,0.0,0.0
2553,30,30,0.0,68,98,68,0.0,0.0
2554,21,19,9.52,44,57,39,11.36,20.88
2555,21,21,0.0,46,67,46,0.0,0.0
2556,22,22,0.0,46,68,46,0.0,0.0
2557,25,24,4.0,54,76,52,3.7,7.7
2558,21,19,9.52,44,59,40,9.09,18.61
2559,28,24,14.29,60,72,48,20.0,34.29
2560,14,14,0.0,32,46,32,0.0,0.0
2561,32,20,37.5,70,60,40,42.86,80.36
2562,17,16,5.88,36,50,34,5.56,11.44
2563,29,27,6.9,64,85,58,9.38,16.28
2564,25,25,0.0,54,79,54,0.0,0.0
2565,24,19,20.83,52,57,38,26.92,47.75
2566,21,20,4.76,48,64,45,6.25,11.01
2567,20,17,15.0,44,53,36,18.18,33.18
2568,17,14,17.65,34,40,26,23.53,41.18
2569,23,22,4.35,48,68,46,4.17,8.52
2570,33,27,18.18,72,81,54,25.0,43.18
2571,25,22,12.0,54,68,46,14.81,26.810000000000002
2572,23,23,0.0,50,73,50,0.0,0.0
2573,24,23,4.17,54,73,51,5.56,9.73
2574,14,14,0.0,32,46,32,0.0,0.0
2575,27,26,3.7,60,84,58,3.33,7.03
2576,19,18,5.26,44,58,41,6.82,12.08
2577,24,23,4.17,50,71,48,4.0,8.17
2578,27,21,22.22,60,63,42,30.0,52.22
2579,23,20,13.04,50,62,43,14.0,27.04
2580,25,25,0.0,52,77,52,0.0,0.0
2581,26,24,7.69,56,76,52,7.14,14.83
2582,24,22,8.33,54,70,48,11.11,19.439999999999998
2583,25,18,28.0,54,52,36,33.33,61.33
2584,23,23,0.0,50,73,50,0.0,0.0
2585,15,14,6.67,32,44,30,6.25,12.92
2586,17,13,23.53,36,37,24,33.33,56.86
2587,24,24,0.0,52,76,52,0.0,0.0
2588,27,15,44.44,60,45,32,46.67,91.11
2589,22,21,4.55,48,67,46,4.17,8.719999999999999
2590,16,16,0.0,32,48,32,0.0,0.0
2591,20,20,0.0,44,64,44,0.0,0.0
2592,21,21,0.0,44,65,44,0.0,0.0
2593,28,28,0.0,60,88,60,0.0,0.0
2594,20,18,10.0,44,56,39,11.36,21.36
2595,30,26,13.33,66,80,54,18.18,31.509999999999998
2596,20,18,10.0,42,54,36,14.29,24.29
2597,24,22,8.33,50,68,46,8.0,16.33
2598,21,19,9.52,44,59,40,9.09,18.61
2599,15,13,13.33,32,41,28,12.5,25.83
2600,23,22,4.35,48,68,46,4.17,8.52
2601,14,14,0.0,30,44,30,0.0,0.0
2602,20,20,0.0,42,62,42,0.0,0.0
2603,22,20,9.09,46,60,40,13.04,22.13
2604,19,19,0.0,42,61,42,0.0,0.0
2605,23,18,21.74,48,54,36,25.0,46.739999999999995
2606,18,16,11.11,38,50,34,10.53,21.64
2607,20,20,0.0,42,62,42,0.0,0.0
2608,18,15,16.67,36,43,28,22.22,38.89
2609,29,26,10.34,62,80,54,12.9,23.240000000000002
2610,16,15,6.25,34,47,32,5.88,12.129999999999999
2611,23,23,0.0,50,73,50,0.0,0.0
2612,16,15,6.25,32,45,30,6.25,12.5
2613,32,28,12.5,70,86,58,17.14,29.64
2614,25,22,12.0,52,66,44,15.38,27.380000000000003
2615,27,23,14.81,58,69,47,18.97,33.78
2616,17,17,0.0,36,53,36,0.0,0.0
2617,23,21,8.7,50,65,44,12.0,20.7
2618,22,20,9.09,48,62,43,10.42,19.509999999999998
2619,21,21,0.0,46,67,46,0.0,0.0
2620,16,14,12.5,32,42,28,12.5,25.0
2621,23,19,17.39,50,57,39,22.0,39.39
2622,25,20,20.0,56,62,42,25.0,45.0
2623,25,21,16.0,54,63,42,22.22,38.22
2624,21,21,0.0,44,65,44,0.0,0.0
2625,17,14,17.65,34,40,26,23.53,41.18
2626,18,18,0.0,38,56,38,0.0,0.0
2627,25,25,0.0,56,81,56,0.0,0.0
2628,29,24,17.24,64,74,50,21.88,39.12
2629,23,19,17.39,48,57,38,20.83,38.22
2630,25,22,12.0,52,66,44,15.38,27.380000000000003
2631,20,18,10.0,42,54,36,14.29,24.29
2632,28,19,32.14,62,59,40,35.48,67.62
2633,9,9,0.0,16,25,16,0.0,0.0
2634,23,22,4.35,50,70,48,4.0,8.35
2635,24,16,33.33,50,46,30,40.0,73.33
2636,22,22,0.0,44,66,44,0.0,0.0
2637,19,17,10.53,40,51,34,15.0,25.53
2638,25,24,4.0,54,76,52,3.7,7.7
2639,26,26,0.0,56,82,56,0.0,0.0
2640,14,14,0.0,28,42,28,0.0,0.0
2641,30,26,13.33,66,80,54,18.18,31.509999999999998
2642,22,22,0.0,48,70,48,0.0,0.0
2643,20,20,0.0,44,64,44,0.0,0.0
2644,27,27,0.0,62,89,62,0.0,0.0
2645,25,25,0.0,54,79,54,0.0,0.0
2646,20,20,0.0,42,62,42,0.0,0.0
2647,17,17,0.0,36,53,36,0.0,0.0
2648,26,24,7.69,56,74,50,10.71,18.400000000000002
2649,21,20,4.76,44,62,42,4.55,9.309999999999999
2650,20,17,15.0,42,51,34,19.05,34.05
2651,21,20,4.76,44,62,42,4.55,9.309999999999999
2652,24,22,8.33,52,68,46,11.54,19.869999999999997
2653,30,23,23.33,66,69,46,30.3,53.629999999999995
2654,17,17,0.0,36,53,36,0.0,0.0
2655,22,19,13.64,46,57,38,17.39,31.03
2656,22,20,9.09,48,62,42,12.5,21.59
2657,31,25,19.35,68,75,52,23.53,42.88
2658,17,16,5.88,36,48,32,11.11,16.99
2659,31,28,9.68,68,88,61,10.29,19.97
2660,21,14,33.33,44,40,26,40.91,74.24
2661,20,17,15.0,42,51,34,19.05,34.05
2662,22,22,0.0,46,68,46,0.0,0.0
2663,23,23,0.0,50,73,50,0.0,0.0
2664,23,23,0.0,52,75,52,0.0,0.0
2665,21,19,9.52,46,59,40,13.04,22.56
2666,29,27,6.9,64,85,58,9.38,16.28
2667,19,18,5.26,42,56,39,7.14,12.399999999999999
2668,28,26,7.14,62,82,56,9.68,16.82
2669,23,23,0.0,52,75,52,0.0,0.0
2670,30,28,6.67,66,88,60,9.09,15.76
2671,24,24,0.0,52,76,52,0.0,0.0
2672,27,25,7.41,58,77,52,10.34,17.75
2673,24,22,8.33,52,68,46,11.54,19.869999999999997
2674,27,27,0.0,62,89,62,0.0,0.0
2675,13,12,7.69,24,34,22,8.33,16.02
2676,29,25,13.79,64,77,52,18.75,32.54
2677,20,20,0.0,44,64,44,0.0,0.0
2678,14,14,0.0,28,42,28,0.0,0.0
2679,21,18,14.29,46,54,37,19.57,33.86
2680,24,21,12.5,52,65,44,15.38,27.880000000000003
2681,24,22,8.33,52,68,46,11.54,19.869999999999997
2682,24,21,12.5,50,63,42,16.0,28.5
2683,28,25,10.71,62,79,54,12.9,23.61
2684,27,25,7.41,58,77,53,8.62,16.03
2685,28,22,21.43,60,66,46,23.33,44.76
2686,15,15,0.0,32,47,32,0.0,0.0
2687,22,22,0.0,48,70,48,0.0,0.0
2688,26,26,0.0,56,82,56,0.0,0.0
2689,22,21,4.55,48,67,46,4.17,8.719999999999999
2690,24,24,0.0,52,76,52,0.0,0.0
2691,31,27,12.9,66,83,56,15.15,28.05
2692,19,14,26.32,40,40,27,32.5,58.82
2693,25,23,8.0,56,73,51,8.93,16.93
2694,22,20,9.09,46,60,40,13.04,22.13
2695,18,17,5.56,38,53,36,5.26,10.82
2696,23,20,13.04,48,60,40,16.67,29.71
2697,16,16,0.0,36,52,36,0.0,0.0
2698,27,23,14.81,58,69,46,20.69,35.5
2699,15,15,0.0,30,45,30,0.0,0.0
2700,19,19,0.0,38,57,38,0.0,0.0
2701,22,22,0.0,48,70,48,0.0,0.0
2702,19,18,5.26,40,56,38,5.0,10.26
2703,22,22,0.0,48,70,48,0.0,0.0
2704,18,18,0.0,38,56,38,0.0,0.0
2705,24,22,8.33,50,66,44,12.0,20.33
2706,26,25,3.85,56,79,54,3.57,7.42
2707,19,16,15.79,40,48,32,20.0,35.79
2708,17,16,5.88,36,50,34,5.56,11.44
2709,26,26,0.0,58,84,58,0.0,0.0
2710,20,14,30.0,46,42,28,39.13,69.13
2711,23,22,4.35,46,66,44,4.35,8.7
2712,23,23,0.0,50,73,50,0.0,0.0
2713,21,19,9.52,44,57,38,13.64,23.16
2714,25,21,16.0,54,63,44,18.52,34.519999999999996
2715,24,23,4.17,50,71,48,4.0,8.17
2716,20,18,10.0,42,54,36,14.29,24.29
2717,27,21,22.22,58,61,40,31.03,53.25
2718,24,22,8.33,50,68,46,8.0,16.33
2719,14,13,7.14,28,39,26,7.14,14.28
2720,25,25,0.0,54,79,54,0.0,0.0
2721,20,20,0.0,44,64,44,0.0,0.0
2722,22,21,4.55,46,65,44,4.35,8.899999999999999
2723,22,20,9.09,46,60,40,13.04,22.13
2724,20,17,15.0,40,49,32,20.0,35.0
2725,23,21,8.7,52,67,46,11.54,20.24
2726,17,12,29.41,38,36,26,31.58,60.989999999999995
2727,21,21,0.0,46,67,46,0.0,0.0
2728,19,19,0.0,40,59,40,0.0,0.0
2729,19,17,10.53,40,51,34,15.0,25.53
2730,24,20,16.67,52,60,40,23.08,39.75
2731,22,16,27.27,50,48,32,36.0,63.269999999999996
2732,28,22,21.43,62,66,45,27.42,48.85
2733,23,20,13.04,50,62,42,16.0,29.04
2734,18,13,27.78,38,37,24,36.84,64.62
2735,24,22,8.33,54,70,48,11.11,19.439999999999998
2736,28,25,10.71,60,77,52,13.33,24.04
2737,19,18,5.26,38,54,36,5.26,10.52
2738,21,20,4.76,44,62,42,4.55,9.309999999999999
2739,25,25,0.0,54,79,54,0.0,0.0
2740,21,21,0.0,46,67,46,0.0,0.0
2741,24,24,0.0,52,76,52,0.0,0.0
2742,26,22,15.38,56,66,45,19.64,35.02
2743,19,19,0.0,40,59,40,0.0,0.0
2744,18,17,5.56,38,53,36,5.26,10.82
2745,24,22,8.33,52,70,48,7.69,16.02
2746,20,20,0.0,44,64,44,0.0,0.0
2747,27,25,7.41,58,77,52,10.34,17.75
2748,24,24,0.0,52,76,52,0.0,0.0
2749,15,15,0.0,32,47,32,0.0,0.0
2750,21,18,14.29,44,54,36,18.18,32.47
2751,27,23,14.81,60,71,48,20.0,34.81
2752,32,32,0.0,70,102,70,0.0,0.0
2753,26,20,23.08,54,58,38,29.63,52.709999999999994
2754,21,21,0.0,44,65,44,0.0,0.0
2755,26,26,0.0,58,84,58,0.0,0.0
2756,23,21,8.7,50,65,45,10.0,18.7
2757,26,23,11.54,58,73,50,13.79,25.33
2758,27,23,14.81,60,73,50,16.67,31.480000000000004
2759,13,12,7.69,26,36,24,7.69,15.38
2760,16,14,12.5,34,42,28,17.65,30.15
2761,23,20,13.04,48,60,40,16.67,29.71
2762,20,18,10.0,44,56,39,11.36,21.36
2763,24,22,8.33,52,68,46,11.54,19.869999999999997
2764,26,24,7.69,56,74,50,10.71,18.400000000000002
2765,28,22,21.43,62,68,48,22.58,44.01
2766,25,23,8.0,52,71,48,7.69,15.690000000000001
2767,27,27,0.0,58,85,58,0.0,0.0
2768,21,18,14.29,44,54,36,18.18,32.47
2769,18,18,0.0,40,58,40,0.0,0.0
2770,22,22,0.0,46,68,46,0.0,0.0
2771,24,22,8.33,52,68,46,11.54,19.869999999999997
2772,21,19,9.52,44,57,38,13.64,23.16
2773,15,15,0.0,32,47,32,0.0,0.0
2774,22,20,9.09,48,64,44,8.33,17.42
2775,22,22,0.0,46,68,46,0.0,0.0
2776,25,19,24.0,54,55,38,29.63,53.629999999999995
2777,16,16,0.0,34,50,34,0.0,0.0
2778,30,23,23.33,64,67,44,31.25,54.58
2779,20,20,0.0,44,64,44,0.0,0.0
2780,31,31,0.0,70,101,70,0.0,0.0
2781,15,13,13.33,32,39,26,18.75,32.08
2782,18,18,0.0,38,56,38,0.0,0.0
2783,19,19,0.0,42,61,42,0.0,0.0
2784,20,15,25.0,42,43,28,33.33,58.33
2785,26,20,23.08,56,60,40,28.57,51.65
2786,24,22,8.33,52,68,46,11.54,19.869999999999997
2787,27,25,7.41,58,77,52,10.34,17.75
2788,21,19,9.52,44,57,38,13.64,23.16
2789,25,25,0.0,56,81,56,0.0,0.0
2790,25,21,16.0,54,63,42,22.22,38.22
2791,32,29,9.38,70,91,62,11.43,20.810000000000002
2792,24,23,4.17,54,73,51,5.56,9.73
2793,25,23,8.0,54,71,48,11.11,19.11
2794,17,14,17.65,34,40,26,23.53,41.18
2795,24,20,16.67,52,60,40,23.08,39.75
2796,22,22,0.0,48,70,48,0.0,0.0
2797,21,21,0.0,46,67,46,0.0,0.0
2798,24,24,0.0,52,76,52,0.0,0.0
2799,22,18,18.18,46,54,36,21.74,39.92
2800,27,25,7.41,60,79,54,10.0,17.41
2801,26,26,0.0,58,84,58,0.0,0.0
2802,25,25,0.0,54,79,54,0.0,0.0
2803,20,20,0.0,44,64,44,0.0,0.0
2804,19,19,0.0,38,57,38,0.0,0.0
2805,11,11,0.0,22,33,22,0.0,0.0
2806,20,18,10.0,42,54,36,14.29,24.29
2807,31,24,22.58,66,72,48,27.27,49.849999999999994
2808,24,20,16.67,52,60,40,23.08,39.75
2809,26,26,0.0,56,82,56,0.0,0.0
2810,21,19,9.52,42,57,38,9.52,19.04
2811,23,23,0.0,50,73,50,0.0,0.0
2812,24,24,0.0,52,76,52,0.0,0.0
2813,24,22,8.33,52,68,46,11.54,19.869999999999997
2814,20,18,10.0,42,54,36,14.29,24.29
2815,16,14,12.5,30,40,26,13.33,25.83
2816,19,19,0.0,40,59,40,0.0,0.0
2817,23,21,8.7,50,67,46,8.0,16.7
2818,18,18,0.0,38,56,38,0.0,0.0
2819,27,25,7.41,60,79,54,10.0,17.41
2820,24,20,16.67,54,62,43,20.37,37.040000000000006
2821,24,24,0.0,50,74,50,0.0,0.0
2822,20,20,0.0,44,64,44,0.0,0.0
2823,26,25,3.85,56,79,54,3.57,7.42
2824,18,17,5.56,40,53,37,7.5,13.059999999999999
2825,20,19,5.0,44,59,41,6.82,11.82
2826,25,25,0.0,54,79,54,0.0,0.0
2827,28,28,0.0,62,90,62,0.0,0.0
2828,32,28,12.5,70,86,58,17.14,29.64
2829,24,20,16.67,50,58,38,24.0,40.67
2830,26,26,0.0,56,82,56,0.0,0.0
2831,24,20,16.67,52,60,40,23.08,39.75
2832,13,13,0.0,28,41,28,0.0,0.0
2833,27,24,11.11,58,74,50,13.79,24.9
2834,24,23,4.17,52,73,50,3.85,8.02
2835,25,24,4.0,54,76,52,3.7,7.7
2836,23,23,0.0,48,71,48,0.0,0.0
2837,24,21,12.5,52,65,44,15.38,27.880000000000003
2838,21,17,19.05,42,49,32,23.81,42.86
2839,20,18,10.0,44,56,38,13.64,23.64
2840,23,20,13.04,48,60,40,16.67,29.71
2841,15,13,13.33,32,39,27,15.62,28.95
2842,23,21,8.7,50,65,44,12.0,20.7
2843,34,31,8.82,76,99,69,9.21,18.03
2844,26,23,11.54,56,69,47,16.07,27.61
2845,28,24,14.29,60,72,48,20.0,34.29
2846,22,21,4.55,46,65,44,4.35,8.899999999999999
2847,24,18,25.0,52,52,34,34.62,59.62
2848,23,22,4.35,50,70,48,4.0,8.35
2849,17,15,11.76,34,43,28,17.65,29.409999999999997
2850,22,20,9.09,46,60,40,13.04,22.13
2851,17,15,11.76,38,47,32,15.79,27.549999999999997
2852,17,17,0.0,36,53,36,0.0,0.0
2853,32,32,0.0,70,102,70,0.0,0.0
2854,12,12,0.0,24,36,24,0.0,0.0
2855,13,11,15.38,26,31,20,23.08,38.46
2856,27,25,7.41,60,79,54,10.0,17.41
2857,29,25,13.79,62,77,52,16.13,29.919999999999998
2858,28,23,17.86,62,71,48,22.58,40.44
2859,23,21,8.7,48,63,42,12.5,21.2
2860,32,30,6.25,72,96,66,8.33,14.58
2861,26,26,0.0,56,82,56,0.0,0.0
2862,24,24,0.0,50,74,50,0.0,0.0
2863,17,17,0.0,38,55,38,0.0,0.0
2864,17,17,0.0,36,53,36,0.0,0.0
2865,26,26,0.0,56,82,56,0.0,0.0
2866,21,18,14.29,46,56,38,17.39,31.68
2867,23,23,0.0,50,73,50,0.0,0.0
2868,20,17,15.0,42,53,36,14.29,29.29
2869,24,24,0.0,52,76,52,0.0,0.0
2870,27,27,0.0,60,87,60,0.0,0.0
2871,23,21,8.7,50,65,44,12.0,20.7
2872,16,15,6.25,34,47,32,5.88,12.129999999999999
2873,17,14,17.65,36,42,28,22.22,39.87
2874,26,24,7.69,58,76,53,8.62,16.31
2875,18,16,11.11,38,48,33,13.16,24.27
2876,23,22,4.35,50,70,48,4.0,8.35
2877,19,18,5.26,40,56,38,5.0,10.26
2878,22,17,22.73,46,49,32,30.43,53.16
2879,21,19,9.52,46,59,41,10.87,20.39
2880,17,14,17.65,36,40,26,27.78,45.43
2881,23,19,17.39,50,59,41,18.0,35.39
2882,29,29,0.0,64,93,64,0.0,0.0
2883,21,21,0.0,44,65,44,0.0,0.0
2884,27,25,7.41,58,77,52,10.34,17.75
2885,26,21,19.23,54,63,43,20.37,39.6
2886,27,24,11.11,58,74,50,13.79,24.9
2887,26,24,7.69,56,74,50,10.71,18.400000000000002
2888,21,18,14.29,44,54,36,18.18,32.47
2889,18,18,0.0,36,54,36,0.0,0.0
2890,22,21,4.55,46,65,44,4.35,8.899999999999999
2891,24,24,0.0,52,76,52,0.0,0.0
2892,25,22,12.0,52,66,44,15.38,27.380000000000003
2893,20,20,0.0,44,64,44,0.0,0.0
2894,33,31,6.06,72,97,66,8.33,14.39
2895,24,21,12.5,50,63,42,16.0,28.5
2896,19,18,5.26,40,56,38,5.0,10.26
2897,25,23,8.0,52,69,46,11.54,19.54
2898,13,13,0.0,28,41,28,0.0,0.0
2899,23,23,0.0,50,73,50,0.0,0.0
2900,21,17,19.05,44,51,34,22.73,41.78
2901,20,20,0.0,44,64,44,0.0,0.0
2902,21,19,9.52,46,59,40,13.04,22.56
2903,23,22,4.35,50,70,48,4.0,8.35
2904,35,31,11.43,78,97,66,15.38,26.810000000000002
2905,17,17,0.0,36,53,36,0.0,0.0
2906,21,18,14.29,48,56,39,18.75,33.04
2907,26,26,0.0,56,82,56,0.0,0.0
