Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Non zero edges,Edge compr. rate,Total graph compr
128,20,16,20.0,42,48,33,21.43,41.43
129,25,25,0.0,56,81,56,0.0,0.0
130,31,28,9.68,68,88,60,11.76,21.439999999999998
131,23,23,0.0,48,71,48,0.0,0.0
132,28,23,17.86,60,69,46,23.33,41.19
133,22,21,4.55,48,67,46,4.17,8.719999999999999
134,21,21,0.0,44,65,44,0.0,0.0
135,29,25,13.79,64,77,52,18.75,32.54
136,23,23,0.0,48,71,48,0.0,0.0
137,20,18,10.0,42,54,36,14.29,24.29
138,20,16,20.0,42,48,32,23.81,43.81
139,24,20,16.67,50,60,40,20.0,36.67
140,18,18,0.0,38,56,38,0.0,0.0
141,30,27,10.0,64,85,58,9.38,19.380000000000003
142,15,15,0.0,34,49,34,0.0,0.0
143,19,15,21.05,40,43,28,30.0,51.05
144,25,24,4.0,52,74,50,3.85,7.85
145,26,24,7.69,58,76,52,10.34,18.03
146,25,23,8.0,54,71,48,11.11,19.11
147,20,20,0.0,42,62,42,0.0,0.0
148,26,24,7.69,56,74,50,10.71,18.400000000000002
149,17,17,0.0,36,53,36,0.0,0.0
150,26,26,0.0,56,82,56,0.0,0.0
151,15,15,0.0,32,47,32,0.0,0.0
152,27,23,14.81,58,69,46,20.69,35.5
153,15,15,0.0,32,47,32,0.0,0.0
154,19,16,15.79,42,50,35,16.67,32.46
155,28,23,17.86,60,69,46,23.33,41.19
156,27,25,7.41,60,79,54,10.0,17.41
157,27,23,14.81,60,71,48,20.0,34.81
158,24,22,8.33,50,66,44,12.0,20.33
159,21,20,4.76,44,62,42,4.55,9.309999999999999
160,25,22,12.0,52,68,46,11.54,23.54
161,16,16,0.0,34,50,34,0.0,0.0
162,21,21,0.0,44,65,44,0.0,0.0
163,25,23,8.0,54,71,48,11.11,19.11
164,21,18,14.29,44,54,36,18.18,32.47
165,22,21,4.55,46,65,44,4.35,8.899999999999999
166,28,26,7.14,62,82,56,9.68,16.82
167,17,15,11.76,36,45,30,16.67,28.43
168,29,29,0.0,64,93,64,0.0,0.0
169,17,13,23.53,34,37,24,29.41,52.94
170,23,22,4.35,48,68,46,4.17,8.52
171,20,17,15.0,42,51,34,19.05,34.05
172,25,21,16.0,56,65,44,21.43,37.43
173,25,25,0.0,52,77,52,0.0,0.0
174,20,18,10.0,42,54,37,11.9,21.9
175,18,18,0.0,38,56,38,0.0,0.0
176,23,23,0.0,50,73,50,0.0,0.0
177,33,32,3.03,70,100,68,2.86,5.89
178,18,18,0.0,40,58,40,0.0,0.0
179,19,17,10.53,38,51,34,10.53,21.06
180,23,21,8.7,52,67,46,11.54,20.24
181,28,26,7.14,60,82,56,6.67,13.809999999999999
182,29,25,13.79,62,77,52,16.13,29.919999999999998
183,24,20,16.67,52,60,40,23.08,39.75
184,20,20,0.0,42,62,42,0.0,0.0
185,18,18,0.0,38,56,38,0.0,0.0
186,18,18,0.0,40,58,40,0.0,0.0
187,24,22,8.33,52,68,46,11.54,19.869999999999997
188,21,18,14.29,42,52,34,19.05,33.34
189,21,20,4.76,46,64,44,4.35,9.11
190,16,16,0.0,34,50,34,0.0,0.0
191,24,20,16.67,52,60,41,21.15,37.82
192,24,22,8.33,52,68,46,11.54,19.869999999999997
193,30,30,0.0,66,96,66,0.0,0.0
194,27,20,25.93,58,60,40,31.03,56.96
195,27,23,14.81,60,71,49,18.33,33.14
196,29,29,0.0,66,95,66,0.0,0.0
197,29,27,6.9,64,85,58,9.38,16.28
198,30,28,6.67,64,88,60,6.25,12.92
199,29,27,6.9,66,87,60,9.09,15.99
200,24,24,0.0,52,76,52,0.0,0.0
201,18,18,0.0,38,56,38,0.0,0.0
202,22,18,18.18,48,56,38,20.83,39.01
203,13,13,0.0,26,39,26,0.0,0.0
204,19,19,0.0,42,61,42,0.0,0.0
205,20,20,0.0,44,64,44,0.0,0.0
206,30,24,20.0,66,72,48,27.27,47.269999999999996
207,20,20,0.0,44,64,44,0.0,0.0
208,23,21,8.7,48,63,42,12.5,21.2
209,21,21,0.0,44,65,44,0.0,0.0
210,32,30,6.25,70,94,64,8.57,14.82
211,18,16,11.11,38,48,32,15.79,26.9
212,26,26,0.0,56,82,56,0.0,0.0
213,27,25,7.41,60,79,54,10.0,17.41
214,25,25,0.0,54,79,54,0.0,0.0
215,27,23,14.81,58,71,48,17.24,32.05
216,14,14,0.0,30,44,30,0.0,0.0
217,34,30,11.76,76,94,64,15.79,27.549999999999997
218,29,26,10.34,64,82,56,12.5,22.84
219,19,14,26.32,38,40,26,31.58,57.9
220,19,19,0.0,40,59,40,0.0,0.0
221,23,20,13.04,50,62,42,16.0,29.04
222,24,22,8.33,52,68,46,11.54,19.869999999999997
223,23,20,13.04,48,60,40,16.67,29.71
224,22,22,0.0,48,70,48,0.0,0.0
225,24,14,41.67,54,42,28,48.15,89.82
226,23,19,17.39,48,55,37,22.92,40.31
227,18,18,0.0,38,56,38,0.0,0.0
228,23,21,8.7,48,65,44,8.33,17.03
229,29,25,13.79,62,77,52,16.13,29.919999999999998
230,30,26,13.33,64,80,54,15.62,28.95
231,22,20,9.09,46,60,40,13.04,22.13
232,20,20,0.0,44,64,44,0.0,0.0
233,25,25,0.0,54,79,54,0.0,0.0
234,26,23,11.54,56,71,48,14.29,25.83
235,17,16,5.88,36,50,34,5.56,11.44
236,21,17,19.05,44,51,34,22.73,41.78
237,21,21,0.0,44,65,44,0.0,0.0
238,21,18,14.29,44,54,37,15.91,30.2
239,14,14,0.0,28,42,28,0.0,0.0
240,20,16,20.0,42,46,31,26.19,46.19
241,18,15,16.67,38,43,29,23.68,40.35
242,23,18,21.74,50,54,37,26.0,47.739999999999995
243,25,21,16.0,56,65,44,21.43,37.43
244,19,17,10.53,38,51,34,10.53,21.06
245,17,17,0.0,38,55,38,0.0,0.0
246,31,27,12.9,68,83,57,16.18,29.08
247,28,26,7.14,62,82,56,9.68,16.82
248,20,17,15.0,42,51,34,19.05,34.05
249,16,15,6.25,34,47,32,5.88,12.129999999999999
250,28,25,10.71,60,77,52,13.33,24.04
251,27,25,7.41,60,79,54,10.0,17.41
252,33,29,12.12,74,91,62,16.22,28.339999999999996
253,18,18,0.0,38,56,38,0.0,0.0
254,25,22,12.0,54,68,46,14.81,26.810000000000002
255,18,18,0.0,38,56,38,0.0,0.0
256,31,29,6.45,70,93,64,8.57,15.02
257,24,20,16.67,50,62,42,16.0,32.67
258,20,16,20.0,42,46,30,28.57,48.57
259,30,30,0.0,66,96,66,0.0,0.0
260,28,28,0.0,60,88,60,0.0,0.0
261,21,17,19.05,44,51,34,22.73,41.78
262,28,22,21.43,64,68,46,28.12,49.55
263,26,20,23.08,60,62,44,26.67,49.75
264,24,24,0.0,52,76,52,0.0,0.0
265,20,20,0.0,42,62,42,0.0,0.0
266,19,19,0.0,40,59,40,0.0,0.0
267,24,22,8.33,50,66,44,12.0,20.33
268,19,19,0.0,38,57,38,0.0,0.0
269,27,23,14.81,60,71,48,20.0,34.81
270,14,14,0.0,28,42,28,0.0,0.0
271,18,16,11.11,36,46,30,16.67,27.78
272,23,19,17.39,50,59,40,20.0,37.39
273,22,16,27.27,48,46,32,33.33,60.599999999999994
274,24,20,16.67,52,60,40,23.08,39.75
275,28,28,0.0,60,88,60,0.0,0.0
276,20,20,0.0,46,66,46,0.0,0.0
277,25,23,8.0,54,71,49,9.26,17.259999999999998
278,26,22,15.38,56,66,44,21.43,36.81
279,24,22,8.33,50,66,44,12.0,20.33
280,22,22,0.0,46,68,46,0.0,0.0
281,20,18,10.0,42,56,38,9.52,19.52
282,30,28,6.67,66,88,60,9.09,15.76
283,16,16,0.0,34,50,34,0.0,0.0
284,28,28,0.0,62,90,62,0.0,0.0
285,25,25,0.0,54,79,54,0.0,0.0
286,23,23,0.0,48,71,48,0.0,0.0
287,24,22,8.33,50,68,46,8.0,16.33
288,28,25,10.71,60,77,52,13.33,24.04
289,21,18,14.29,44,54,36,18.18,32.47
290,24,23,4.17,52,73,50,3.85,8.02
291,20,18,10.0,40,54,36,10.0,20.0
292,20,20,0.0,44,64,44,0.0,0.0
293,13,13,0.0,28,41,28,0.0,0.0
294,23,21,8.7,52,67,46,11.54,20.24
295,23,20,13.04,52,64,44,15.38,28.42
296,19,16,15.79,40,46,31,22.5,38.29
297,15,13,13.33,32,41,28,12.5,25.83
298,24,20,16.67,52,60,40,23.08,39.75
299,21,17,19.05,44,49,32,27.27,46.32
300,28,27,3.57,62,85,59,4.84,8.41
301,30,26,13.33,64,80,54,15.62,28.95
302,28,24,14.29,60,72,48,20.0,34.29
303,22,20,9.09,46,60,40,13.04,22.13
304,18,14,22.22,36,42,28,22.22,44.44
305,15,13,13.33,32,39,27,15.62,28.95
306,19,18,5.26,40,56,38,5.0,10.26
307,18,16,11.11,38,48,33,13.16,24.27
308,22,22,0.0,48,70,48,0.0,0.0
309,19,17,10.53,40,53,36,10.0,20.53
310,18,15,16.67,38,45,31,18.42,35.09
311,26,24,7.69,56,76,52,7.14,14.83
312,33,27,18.18,72,81,54,25.0,43.18
313,27,23,14.81,60,71,48,20.0,34.81
314,18,18,0.0,38,56,38,0.0,0.0
315,26,20,23.08,56,58,38,32.14,55.22
316,26,23,11.54,56,71,48,14.29,25.83
317,26,23,11.54,56,71,48,14.29,25.83
318,19,19,0.0,40,59,40,0.0,0.0
319,22,17,22.73,48,49,33,31.25,53.980000000000004
320,23,21,8.7,48,63,42,12.5,21.2
321,26,23,11.54,56,71,48,14.29,25.83
322,24,23,4.17,52,73,50,3.85,8.02
323,23,21,8.7,50,65,44,12.0,20.7
324,15,15,0.0,30,45,30,0.0,0.0
325,21,20,4.76,42,60,40,4.76,9.52
326,20,19,5.0,42,59,40,4.76,9.76
327,16,14,12.5,32,40,26,18.75,31.25
328,20,20,0.0,44,64,44,0.0,0.0
329,23,23,0.0,48,71,48,0.0,0.0
330,15,15,0.0,34,49,34,0.0,0.0
331,22,20,9.09,48,62,42,12.5,21.59
332,23,20,13.04,48,60,40,16.67,29.71
333,27,25,7.41,60,81,56,6.67,14.08
334,20,20,0.0,42,62,42,0.0,0.0
335,26,24,7.69,58,76,52,10.34,18.03
336,26,26,0.0,56,82,56,0.0,0.0
337,17,15,11.76,36,45,30,16.67,28.43
338,18,14,22.22,38,42,29,23.68,45.9
339,19,16,15.79,40,48,32,20.0,35.79
340,20,18,10.0,42,54,36,14.29,24.29
341,29,27,6.9,64,85,58,9.38,16.28
342,29,25,13.79,64,79,54,15.62,29.409999999999997
343,23,23,0.0,50,73,50,0.0,0.0
344,21,21,0.0,44,65,44,0.0,0.0
345,19,19,0.0,40,59,40,0.0,0.0
