Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
175,18,18,0.0,38,38,0.0
176,23,23,0.0,50,50,0.0
177,33,32,3.03,70,70,2.86
178,18,18,0.0,40,40,0.0
179,19,17,10.53,38,38,7.89
180,23,21,8.7,52,52,15.38
181,28,26,7.14,60,60,5.0
182,29,25,13.79,62,62,17.74
183,24,20,16.67,52,52,30.77
184,20,20,0.0,42,42,0.0
185,18,18,0.0,38,38,0.0
186,18,18,0.0,40,40,0.0
187,24,22,8.33,52,52,15.38
188,21,18,14.29,42,42,23.81
189,21,20,4.76,46,46,4.35
190,16,16,0.0,34,34,0.0
191,24,20,16.67,52,52,26.92
192,24,22,8.33,52,52,15.38
193,30,30,0.0,66,66,0.0
194,27,20,25.93,58,58,41.38
195,27,23,14.81,60,60,25.0
196,29,29,0.0,66,66,0.0
197,29,27,6.9,64,64,12.5
198,30,28,6.67,64,64,7.81
199,29,27,6.9,66,66,12.12
200,24,24,0.0,52,52,0.0
201,18,18,0.0,38,38,0.0
202,22,18,18.18,48,48,22.92
203,13,13,0.0,26,26,0.0
204,19,19,0.0,42,42,0.0
205,20,20,0.0,44,44,0.0
206,30,24,20.0,66,66,36.36
207,20,20,0.0,44,44,0.0
208,23,21,8.7,48,48,16.67
209,21,21,0.0,44,44,0.0
210,32,30,6.25,70,70,11.43
211,18,16,11.11,38,38,21.05
212,26,26,0.0,56,56,0.0
213,27,25,7.41,60,60,13.33
214,25,25,0.0,54,54,0.0
215,27,23,14.81,58,58,20.69
216,14,14,0.0,30,30,0.0
217,34,30,11.76,76,76,21.05
218,29,26,10.34,64,64,15.62
219,19,14,26.32,38,38,36.84
220,19,19,0.0,40,40,0.0
221,23,20,13.04,50,50,20.0
222,24,22,8.33,52,52,15.38
223,23,20,13.04,48,48,22.92
224,22,22,0.0,48,48,0.0
225,24,14,41.67,54,54,70.37
226,23,19,17.39,48,48,31.25
227,18,18,0.0,38,38,0.0
228,23,21,8.7,48,48,6.25
