Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
157,91,91,0.0,2570,2570,0.0
158,71,71,0.0,1588,1588,0.0
159,112,112,0.0,3772,3772,0.0
160,80,80,0.0,1944,1944,0.0
161,114,114,0.0,3914,3914,0.0
162,157,157,0.0,7260,7260,0.0
163,103,103,0.0,3210,3210,0.0
164,133,133,0.0,5326,5326,0.0
165,119,119,0.0,4304,4304,0.0
166,100,100,0.0,3066,3066,0.0
167,108,108,0.0,3568,3568,0.0
168,125,125,0.0,4644,4644,0.0
169,120,120,0.0,4380,4380,0.0
170,150,150,0.0,6726,6726,0.0
171,146,146,0.0,6204,6204,0.0
172,88,88,0.0,2406,2406,0.0
173,89,89,0.0,2386,2386,0.0
174,151,151,0.0,6766,6766,0.0
175,83,83,0.0,2152,2152,0.0
176,118,118,0.0,4292,4292,0.0
177,103,103,0.0,3172,3172,0.0
178,91,91,0.0,2514,2514,0.0
179,127,127,0.0,4908,4908,0.0
180,125,125,0.0,4708,4708,0.0
181,136,136,0.0,5652,5652,0.0
182,110,110,0.0,3742,3742,0.0
183,100,100,0.0,3086,3086,0.0
184,133,133,0.0,5304,5304,0.0
185,117,117,0.0,4164,4164,0.0
186,159,159,0.0,7546,7546,0.0
187,109,109,0.0,3636,3636,0.0
188,109,109,0.0,3596,3596,0.0
189,98,98,0.0,3038,3038,0.0
190,138,138,0.0,5632,5632,0.0
191,87,87,0.0,2290,2290,0.0
192,154,154,0.0,7108,7108,0.0
193,158,158,0.0,7350,7350,0.0
194,134,134,0.0,5566,5566,0.0
195,136,136,0.0,5722,5722,0.0
196,113,113,0.0,3998,3998,0.0
197,121,121,0.0,4438,4438,0.0
198,107,107,0.0,3584,3584,0.0
199,96,96,0.0,2788,2788,0.0
200,153,153,0.0,6972,6972,0.0
201,118,118,0.0,4402,4402,0.0
202,97,97,0.0,2890,2890,0.0
203,126,126,0.0,4802,4802,0.0
204,167,167,0.0,8502,8502,0.0
205,147,147,0.0,6356,6356,0.0
206,137,137,0.0,5784,5784,0.0
207,110,110,0.0,3724,3724,0.0
208,123,123,0.0,4564,4564,0.0
209,131,131,0.0,5304,5304,0.0
210,95,95,0.0,2820,2820,0.0
211,106,106,0.0,3562,3562,0.0
212,150,150,0.0,7126,7126,0.0
213,133,133,0.0,5364,5364,0.0
214,110,110,0.0,3642,3642,0.0
215,116,116,0.0,4136,4136,0.0
216,89,89,0.0,2332,2332,0.0
217,94,94,0.0,2604,2604,0.0
218,139,139,0.0,5794,5794,0.0
219,116,116,0.0,4006,4006,0.0
220,106,106,0.0,3436,3436,0.0
221,125,125,0.0,4934,4934,0.0
222,117,117,0.0,4214,4214,0.0
223,126,126,0.0,4792,4792,0.0
224,135,135,0.0,5528,5528,0.0
225,108,108,0.0,3488,3488,0.0
226,144,144,0.0,6246,6246,0.0
227,107,107,0.0,3576,3576,0.0
228,124,124,0.0,4636,4636,0.0
229,133,133,0.0,5240,5240,0.0
230,176,176,0.0,9300,9300,0.0
231,142,142,0.0,5998,5998,0.0
232,128,128,0.0,4998,4998,0.0
233,104,104,0.0,3390,3390,0.0
234,186,186,0.0,10332,10332,0.0
235,160,160,0.0,7744,7744,0.0
236,113,113,0.0,3892,3892,0.0
237,156,156,0.0,7422,7422,0.0
238,120,120,0.0,4386,4386,0.0
239,126,126,0.0,4704,4704,0.0
240,82,82,0.0,2056,2056,0.0
241,133,133,0.0,5590,5590,0.0
242,153,153,0.0,6988,6988,0.0
243,123,123,0.0,4682,4682,0.0
244,117,117,0.0,4138,4138,0.0
245,148,148,0.0,6550,6550,0.0
246,100,100,0.0,3074,3074,0.0
247,117,117,0.0,4172,4172,0.0
248,117,117,0.0,4210,4210,0.0
249,89,89,0.0,2474,2474,0.0
250,120,120,0.0,4322,4322,0.0
251,108,108,0.0,3662,3662,0.0
252,112,112,0.0,3896,3896,0.0
253,88,88,0.0,2334,2334,0.0
254,99,99,0.0,3108,3108,0.0
255,120,120,0.0,4184,4184,0.0
256,115,115,0.0,4006,4006,0.0
257,88,88,0.0,2474,2474,0.0
258,126,126,0.0,4720,4720,0.0
259,122,122,0.0,4488,4488,0.0
260,107,107,0.0,3480,3480,0.0
261,148,148,0.0,6652,6652,0.0
262,85,85,0.0,2308,2308,0.0
263,110,110,0.0,3736,3736,0.0
264,168,168,0.0,8546,8546,0.0
265,123,123,0.0,4518,4518,0.0
266,129,129,0.0,5002,5002,0.0
267,120,120,0.0,4470,4470,0.0
268,83,83,0.0,2150,2150,0.0
269,117,117,0.0,4228,4228,0.0
270,121,121,0.0,4298,4298,0.0
271,126,126,0.0,4730,4730,0.0
272,123,123,0.0,4626,4626,0.0
273,102,102,0.0,3186,3186,0.0
274,98,98,0.0,2878,2878,0.0
275,109,109,0.0,3766,3766,0.0
276,183,183,0.0,9960,9960,0.0
277,118,118,0.0,4340,4340,0.0
278,110,110,0.0,3740,3740,0.0
279,137,137,0.0,5780,5780,0.0
280,105,105,0.0,3456,3456,0.0
281,136,136,0.0,5624,5624,0.0
282,128,128,0.0,4716,4716,0.0
283,111,111,0.0,3646,3646,0.0
284,121,121,0.0,4466,4466,0.0
285,103,103,0.0,3306,3306,0.0
286,139,139,0.0,5918,5918,0.0
287,130,130,0.0,5144,5144,0.0
288,131,131,0.0,5098,5098,0.0
289,110,110,0.0,3524,3524,0.0
290,139,139,0.0,5824,5824,0.0
291,116,116,0.0,4180,4180,0.0
292,131,131,0.0,5220,5220,0.0
293,65,65,0.0,1218,1218,0.0
294,137,137,0.0,5598,5598,0.0
295,113,113,0.0,3874,3874,0.0
296,116,116,0.0,4130,4130,0.0
297,96,96,0.0,2786,2786,0.0
298,121,121,0.0,4566,4566,0.0
299,143,143,0.0,6206,6206,0.0
300,130,130,0.0,4916,4916,0.0
301,138,138,0.0,5868,5868,0.0
302,103,103,0.0,3326,3326,0.0
303,96,96,0.0,2708,2708,0.0
304,89,89,0.0,2482,2482,0.0
305,92,92,0.0,2584,2584,0.0
306,113,113,0.0,3788,3788,0.0
307,143,143,0.0,6160,6160,0.0
308,122,122,0.0,4512,4512,0.0
309,130,130,0.0,5092,5092,0.0
310,109,109,0.0,3574,3574,0.0
311,123,123,0.0,4594,4594,0.0
312,134,134,0.0,5468,5468,0.0
313,79,79,0.0,1832,1832,0.0
314,113,113,0.0,3922,3922,0.0
315,142,142,0.0,6186,6186,0.0
316,140,140,0.0,5942,5942,0.0
317,132,132,0.0,5328,5328,0.0
318,130,130,0.0,5166,5166,0.0
319,154,154,0.0,7228,7228,0.0
320,153,153,0.0,6958,6958,0.0
321,132,132,0.0,5216,5216,0.0
322,80,80,0.0,2010,2010,0.0
323,135,135,0.0,5456,5456,0.0
324,161,161,0.0,7876,7876,0.0
325,115,115,0.0,3940,3940,0.0
326,94,94,0.0,2742,2742,0.0
327,104,104,0.0,3310,3310,0.0
328,90,90,0.0,2648,2648,0.0
329,107,107,0.0,3456,3456,0.0
330,118,118,0.0,4202,4202,0.0
331,127,127,0.0,4746,4746,0.0
332,148,148,0.0,6476,6476,0.0
333,112,112,0.0,3752,3752,0.0
334,99,99,0.0,2988,2988,0.0
335,107,107,0.0,3536,3536,0.0
336,111,111,0.0,3806,3806,0.0
337,85,85,0.0,2200,2200,0.0
338,126,126,0.0,4734,4734,0.0
339,62,62,0.0,1166,1166,0.0
340,128,128,0.0,4868,4868,0.0
341,107,107,0.0,3462,3462,0.0
342,95,95,0.0,2694,2694,0.0
343,122,122,0.0,4432,4432,0.0
344,140,140,0.0,5750,5750,0.0
345,106,106,0.0,3394,3394,0.0
346,120,120,0.0,4306,4306,0.0
347,110,110,0.0,3768,3768,0.0
348,103,103,0.0,3378,3378,0.0
349,125,125,0.0,4608,4608,0.0
350,109,109,0.0,3656,3656,0.0
351,116,116,0.0,4074,4074,0.0
352,109,109,0.0,3716,3716,0.0
353,96,96,0.0,2840,2840,0.0
354,98,98,0.0,3190,3190,0.0
355,140,140,0.0,5848,5848,0.0
356,142,142,0.0,6092,6092,0.0
357,121,121,0.0,4506,4506,0.0
358,118,118,0.0,4456,4456,0.0
359,79,79,0.0,1870,1870,0.0
360,122,122,0.0,4350,4350,0.0
361,90,90,0.0,2398,2398,0.0
362,141,141,0.0,6052,6052,0.0
363,101,101,0.0,3012,3012,0.0
364,67,67,0.0,1340,1340,0.0
365,143,143,0.0,6354,6354,0.0
366,116,116,0.0,4208,4208,0.0
367,129,129,0.0,5008,5008,0.0
368,101,101,0.0,3018,3018,0.0
369,109,109,0.0,3624,3624,0.0
370,110,110,0.0,3706,3706,0.0
371,127,127,0.0,5010,5010,0.0
372,117,117,0.0,4040,4040,0.0
373,99,99,0.0,3082,3082,0.0
374,165,165,0.0,8258,8258,0.0
375,107,107,0.0,3604,3604,0.0
376,84,84,0.0,2230,2230,0.0
377,142,142,0.0,6096,6096,0.0
378,108,108,0.0,3434,3434,0.0
379,123,123,0.0,4674,4674,0.0
380,144,144,0.0,6238,6238,0.0
381,106,106,0.0,3262,3262,0.0
382,127,127,0.0,5026,5026,0.0
383,130,130,0.0,5144,5144,0.0
384,138,138,0.0,5692,5692,0.0
385,145,145,0.0,6376,6376,0.0
386,142,142,0.0,5994,5994,0.0
387,99,99,0.0,2936,2936,0.0
388,89,89,0.0,2380,2380,0.0
389,154,154,0.0,7052,7052,0.0
390,127,127,0.0,4866,4866,0.0
391,121,121,0.0,4480,4480,0.0
392,130,130,0.0,5264,5264,0.0
393,128,128,0.0,5108,5108,0.0
394,112,112,0.0,3824,3824,0.0
395,133,133,0.0,5466,5466,0.0
396,100,100,0.0,3016,3016,0.0
397,113,113,0.0,3854,3854,0.0
398,122,122,0.0,4444,4444,0.0
399,99,99,0.0,2994,2994,0.0
400,87,87,0.0,2248,2248,0.0
401,118,118,0.0,4170,4170,0.0
402,91,91,0.0,2504,2504,0.0
403,125,125,0.0,4770,4770,0.0
404,159,159,0.0,7502,7502,0.0
405,103,103,0.0,3050,3050,0.0
406,146,146,0.0,6576,6576,0.0
407,130,130,0.0,5118,5118,0.0
408,142,142,0.0,6170,6170,0.0
409,113,113,0.0,3950,3950,0.0
410,114,114,0.0,3914,3914,0.0
411,108,108,0.0,3522,3522,0.0
412,106,106,0.0,3508,3508,0.0
413,146,146,0.0,6266,6266,0.0
414,131,131,0.0,5128,5128,0.0
415,112,112,0.0,3918,3918,0.0
416,62,62,0.0,1174,1174,0.0
417,140,140,0.0,5976,5976,0.0
418,107,107,0.0,3502,3502,0.0
419,135,135,0.0,5456,5456,0.0
420,103,103,0.0,3102,3102,0.0
421,84,84,0.0,2188,2188,0.0
422,133,133,0.0,5424,5424,0.0
423,143,143,0.0,6116,6116,0.0
424,132,132,0.0,5314,5314,0.0
