Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
175,74,74,0.0,592,592,0.0
176,48,48,0.0,384,384,0.0
177,75,75,0.0,600,600,0.0
178,72,72,0.0,576,576,0.0
179,71,70,1.41,568,568,4.23
180,73,73,0.0,584,584,0.0
181,70,70,0.0,560,560,0.0
182,72,72,0.0,576,576,0.0
183,72,72,0.0,576,576,0.0
184,74,74,0.0,592,592,0.0
185,73,73,0.0,584,584,0.0
186,74,74,0.0,592,592,0.0
187,69,69,0.0,552,552,0.0
188,48,48,0.0,384,384,0.0
189,72,72,0.0,576,576,0.0
190,72,71,1.39,576,576,3.82
191,65,65,0.0,520,520,0.0
192,72,71,1.39,576,576,3.82
193,73,73,0.0,584,584,0.0
194,74,74,0.0,592,592,0.0
195,72,72,0.0,576,576,0.0
196,74,74,0.0,592,592,0.0
197,70,70,0.0,560,560,0.0
198,46,46,0.0,368,368,0.0
199,72,72,0.0,576,576,0.0
200,72,72,0.0,576,576,0.0
201,74,74,0.0,592,592,0.0
202,74,74,0.0,592,592,0.0
203,69,69,0.0,552,552,0.0
204,48,48,0.0,384,384,0.0
205,68,68,0.0,544,544,0.0
206,73,73,0.0,584,584,0.0
207,71,71,0.0,568,568,0.0
208,74,74,0.0,592,592,0.0
209,74,74,0.0,592,592,0.0
210,71,71,0.0,568,568,0.0
211,74,74,0.0,592,592,0.0
212,73,73,0.0,584,584,0.0
213,69,69,0.0,552,552,0.0
214,75,75,0.0,600,600,0.0
215,68,68,0.0,544,544,0.0
216,75,75,0.0,600,600,0.0
217,73,72,1.37,584,584,3.42
218,75,75,0.0,600,600,0.0
219,73,73,0.0,584,584,0.0
220,73,73,0.0,584,584,0.0
221,73,73,0.0,584,584,0.0
222,74,74,0.0,592,592,0.0
223,73,73,0.0,584,584,0.0
224,75,75,0.0,600,600,0.0
225,74,74,0.0,592,592,0.0
226,72,72,0.0,576,576,0.0
227,69,69,0.0,552,552,0.0
228,70,70,0.0,560,560,0.0
229,72,72,0.0,576,576,0.0
230,72,72,0.0,576,576,0.0
231,73,73,0.0,584,584,0.0
232,75,75,0.0,600,600,0.0
233,73,73,0.0,584,584,0.0
234,47,47,0.0,376,376,0.0
235,75,75,0.0,600,600,0.0
236,65,65,0.0,520,520,0.0
237,74,74,0.0,592,592,0.0
238,72,72,0.0,576,576,0.0
239,74,74,0.0,592,592,0.0
240,69,69,0.0,552,552,0.0
241,68,68,0.0,544,544,0.0
242,45,45,0.0,360,360,0.0
243,69,69,0.0,552,552,0.0
244,73,73,0.0,584,584,0.0
245,72,72,0.0,576,576,0.0
246,67,67,0.0,536,536,0.0
247,68,68,0.0,544,544,0.0
248,71,71,0.0,568,568,0.0
249,71,71,0.0,568,568,0.0
250,71,71,0.0,568,568,0.0
251,72,72,0.0,576,576,0.0
252,72,72,0.0,576,576,0.0
253,74,74,0.0,592,592,0.0
254,75,75,0.0,600,600,0.0
255,75,75,0.0,600,600,0.0
256,48,48,0.0,384,384,0.0
257,75,75,0.0,600,600,0.0
258,72,72,0.0,576,576,0.0
259,66,66,0.0,528,528,0.0
260,69,69,0.0,552,552,0.0
261,74,74,0.0,592,592,0.0
262,72,72,0.0,576,576,0.0
263,72,72,0.0,576,576,0.0
264,73,73,0.0,584,584,0.0
265,73,73,0.0,584,584,0.0
266,71,71,0.0,568,568,0.0
267,69,69,0.0,552,552,0.0
268,71,70,1.41,568,568,3.87
269,74,74,0.0,592,592,0.0
270,74,74,0.0,592,592,0.0
271,75,75,0.0,600,600,0.0
272,74,74,0.0,592,592,0.0
273,69,69,0.0,552,552,0.0
274,68,68,0.0,544,544,0.0
275,71,71,0.0,568,568,0.0
276,75,75,0.0,600,600,0.0
277,72,72,0.0,576,576,0.0
278,45,45,0.0,360,360,0.0
279,69,69,0.0,552,552,0.0
280,74,74,0.0,592,592,0.0
281,70,70,0.0,560,560,0.0
282,75,75,0.0,600,600,0.0
283,71,71,0.0,568,568,0.0
284,68,68,0.0,544,544,0.0
285,75,75,0.0,600,600,0.0
286,72,72,0.0,576,576,0.0
287,73,73,0.0,584,584,0.0
288,73,73,0.0,584,584,0.0
289,71,71,0.0,568,568,0.0
290,67,67,0.0,536,536,0.0
291,74,74,0.0,592,592,0.0
292,73,73,0.0,584,584,0.0
293,72,72,0.0,576,576,0.0
294,74,74,0.0,592,592,0.0
295,72,72,0.0,576,576,0.0
296,75,74,1.33,600,600,3.5
297,72,72,0.0,576,576,0.0
298,46,46,0.0,368,368,0.0
299,74,74,0.0,592,592,0.0
300,71,71,0.0,568,568,0.0
301,72,72,0.0,576,576,0.0
302,74,74,0.0,592,592,0.0
303,72,72,0.0,576,576,0.0
304,47,46,2.13,376,376,5.59
305,73,73,0.0,584,584,0.0
306,74,74,0.0,592,592,0.0
307,75,74,1.33,600,600,3.5
308,74,74,0.0,592,592,0.0
309,74,74,0.0,592,592,0.0
310,71,71,0.0,568,568,0.0
311,71,71,0.0,568,568,0.0
312,69,69,0.0,552,552,0.0
313,71,71,0.0,568,568,0.0
314,73,73,0.0,584,584,0.0
315,72,72,0.0,576,576,0.0
316,72,72,0.0,576,576,0.0
317,71,70,1.41,568,568,3.52
318,74,74,0.0,592,592,0.0
319,71,71,0.0,568,568,0.0
320,74,74,0.0,592,592,0.0
321,69,69,0.0,552,552,0.0
322,74,74,0.0,592,592,0.0
323,74,74,0.0,592,592,0.0
324,45,45,0.0,360,360,0.0
325,71,71,0.0,568,568,0.0
326,73,73,0.0,584,584,0.0
327,71,71,0.0,568,568,0.0
