Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
174,113,113,0.0,904,904,0.0
175,116,116,0.0,928,928,0.0
176,119,119,0.0,952,952,0.0
177,120,120,0.0,960,960,0.0
178,119,119,0.0,952,952,0.0
179,109,109,0.0,872,872,0.0
180,120,120,0.0,960,960,0.0
181,114,113,0.88,912,888,2.63
182,121,121,0.0,968,968,0.0
183,116,116,0.0,928,928,0.0
184,119,118,0.84,952,931,2.21
185,109,109,0.0,872,872,0.0
186,120,119,0.83,960,940,2.08
187,117,117,0.0,936,936,0.0
188,117,117,0.0,936,936,0.0
189,117,117,0.0,936,936,0.0
190,120,119,0.83,960,938,2.29
191,101,100,0.99,808,786,2.72
192,114,114,0.0,912,912,0.0
193,120,120,0.0,960,960,0.0
194,120,120,0.0,960,960,0.0
195,119,119,0.0,952,952,0.0
196,115,115,0.0,920,920,0.0
197,117,117,0.0,936,936,0.0
198,120,120,0.0,960,960,0.0
199,117,117,0.0,936,936,0.0
200,119,119,0.0,952,952,0.0
201,117,117,0.0,936,936,0.0
202,105,104,0.95,840,820,2.38
203,118,118,0.0,944,944,0.0
204,116,116,0.0,928,928,0.0
205,117,117,0.0,936,936,0.0
206,127,127,0.0,1016,1016,0.0
207,109,109,0.0,872,872,0.0
208,112,112,0.0,896,896,0.0
209,123,123,0.0,984,984,0.0
210,120,120,0.0,960,960,0.0
211,117,117,0.0,936,936,0.0
212,119,119,0.0,952,952,0.0
213,117,117,0.0,936,936,0.0
214,116,116,0.0,928,928,0.0
215,106,106,0.0,848,848,0.0
216,121,121,0.0,968,968,0.0
217,122,122,0.0,976,976,0.0
218,123,123,0.0,984,984,0.0
219,119,119,0.0,952,952,0.0
220,120,120,0.0,960,960,0.0
221,114,114,0.0,912,912,0.0
222,120,120,0.0,960,960,0.0
223,116,115,0.86,928,907,2.26
224,120,119,0.83,960,941,1.98
225,115,115,0.0,920,920,0.0
226,118,118,0.0,944,944,0.0
227,120,120,0.0,960,960,0.0
228,121,121,0.0,968,968,0.0
229,119,119,0.0,952,952,0.0
230,120,120,0.0,960,960,0.0
231,111,111,0.0,888,888,0.0
232,123,123,0.0,984,984,0.0
233,116,116,0.0,928,928,0.0
234,120,120,0.0,960,960,0.0
235,122,122,0.0,976,976,0.0
236,115,115,0.0,920,920,0.0
237,121,121,0.0,968,968,0.0
238,124,124,0.0,992,992,0.0
239,118,118,0.0,944,944,0.0
240,122,122,0.0,976,976,0.0
241,110,110,0.0,880,880,0.0
242,115,115,0.0,920,920,0.0
243,116,116,0.0,928,928,0.0
244,119,119,0.0,952,952,0.0
245,112,112,0.0,896,896,0.0
246,117,117,0.0,936,936,0.0
247,119,119,0.0,952,952,0.0
248,122,122,0.0,976,976,0.0
249,116,116,0.0,928,928,0.0
250,125,125,0.0,1000,1000,0.0
251,122,122,0.0,976,976,0.0
252,118,118,0.0,944,944,0.0
253,122,122,0.0,976,976,0.0
254,119,119,0.0,952,952,0.0
255,120,120,0.0,960,960,0.0
256,118,118,0.0,944,944,0.0
257,109,109,0.0,872,872,0.0
258,119,118,0.84,952,930,2.31
259,117,117,0.0,936,936,0.0
260,115,115,0.0,920,920,0.0
261,119,119,0.0,952,952,0.0
262,119,119,0.0,952,952,0.0
263,122,122,0.0,976,976,0.0
264,118,118,0.0,944,944,0.0
265,116,116,0.0,928,928,0.0
266,120,120,0.0,960,960,0.0
267,121,121,0.0,968,968,0.0
268,114,114,0.0,912,912,0.0
269,118,118,0.0,944,944,0.0
270,115,115,0.0,920,920,0.0
271,117,117,0.0,936,936,0.0
272,120,120,0.0,960,960,0.0
273,121,121,0.0,968,968,0.0
274,110,110,0.0,880,880,0.0
275,122,122,0.0,976,976,0.0
276,123,122,0.81,984,964,2.03
